age,workclass,education,marital.status,occupation,race,sex,hours.per.week,income
21,Private,Some-college,Married,Exec-managerial,White,Male,48,0
35,Private,HS-grad,Married,Craft-repair,White,Male,40,0
70,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,50,1
61,Self-emp-not-inc,HS-grad,Married,Farming-fishing,White,Male,50,0
65,Self-emp-inc,HS-grad,Married,Farming-fishing,White,Male,65,0
46,Private,5th-6th,Divorced,Craft-repair,White,Female,45,0
26,Local-gov,Bachelors,Never-married,Prof-specialty,White,Male,55,0
59,Local-gov,HS-grad,Widowed,Farming-fishing,White,Male,40,0
61,Private,5th-6th,Never-married,Handlers-cleaners,Black,Male,40,0
60,State-gov,Bachelors,Divorced,Prof-specialty,White,Female,40,0
49,Self-emp-inc,Some-college,Divorced,Exec-managerial,White,Male,50,0
25,Private,Bachelors,Never-married,Prof-specialty,White,Female,35,0
59,Local-gov,HS-grad,Separated,Protective-serv,Black,Female,40,0
28,State-gov,Some-college,Separated,Exec-managerial,White,Male,40,0
56,Self-emp-not-inc,Masters,Divorced,Sales,White,Female,60,0
41,Private,HS-grad,Divorced,Craft-repair,White,Male,40,0
42,Private,HS-grad,Never-married,Adm-clerical,Black,Female,40,0
28,Private,Prof-school,Never-married,Prof-specialty,White,Male,40,0
40,Self-emp-not-inc,Prof-school,Divorced,Other-service,White,Female,35,0
69,Private,Bachelors,Widowed,Prof-specialty,White,Male,40,1
66,Local-gov,HS-grad,Married,Craft-repair,White,Male,40,0
69,Private,5th-6th,Married,Machine-op-inspct,White,Male,40,0
55,Local-gov,Masters,Married,Prof-specialty,White,Female,40,0
57,Federal-gov,HS-grad,Never-married,Adm-clerical,White,Male,40,0
20,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,White,Male,10,0
33,Private,HS-grad,Divorced,Craft-repair,White,Male,84,0
30,Self-emp-not-inc,Some-college,Never-married,Sales,Asian-Pac-Islander,Male,40,0
40,Private,Bachelors,Never-married,Tech-support,Asian-Pac-Islander,Female,48,0
38,Private,Some-college,Separated,Machine-op-inspct,White,Male,55,1
46,State-gov,Assoc,Divorced,Adm-clerical,White,Male,38,1
29,Private,Bachelors,Never-married,Exec-managerial,White,Female,45,1
57,Federal-gov,Bachelors,Never-married,Adm-clerical,White,Male,40,0
39,Private,HS-grad,Never-married,Craft-repair,White,Male,42,1
47,Private,Bachelors,Divorced,Exec-managerial,White,Male,40,1
26,Private,Bachelors,Never-married,Exec-managerial,White,Male,45,1
27,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,50,0
23,Private,Bachelors,Never-married,Prof-specialty,White,Female,40,1
34,Private,Masters,Never-married,Prof-specialty,White,Male,50,0
33,Private,12th,Divorced,Craft-repair,White,Male,42,0
38,Local-gov,Masters,Never-married,Prof-specialty,White,Female,60,0
57,Private,Some-college,Widowed,Adm-clerical,White,Female,38,1
36,Private,HS-grad,Never-married,Exec-managerial,White,Male,70,0
44,Federal-gov,Bachelors,Divorced,Tech-support,White,Male,40,1
49,State-gov,Doctorate,Never-married,Exec-managerial,White,Female,50,1
44,Self-emp-inc,Some-college,Never-married,Sales,White,Male,60,0
55,Private,Some-college,Widowed,Farming-fishing,White,Male,62,1
45,Private,HS-grad,Divorced,Farming-fishing,White,Male,44,1
48,Private,HS-grad,Divorced,Exec-managerial,White,Female,40,1
31,Private,Bachelors,Married,Exec-managerial,White,Male,45,1
55,Local-gov,HS-grad,Married,Prof-specialty,White,Female,40,1
70,Self-emp-not-inc,Some-college,Married,Exec-managerial,White,Male,40,1
70,Self-emp-not-inc,Masters,Married,Exec-managerial,White,Male,8,1
73,Private,Bachelors,Married,Prof-specialty,White,Male,40,1
72,Self-emp-not-inc,Prof-school,Married,Prof-specialty,White,Male,28,1
31,Private,HS-grad,Separated,Machine-op-inspct,White,Female,40,0
28,Private,10th,Widowed,Adm-clerical,White,Female,35,0
23,Self-emp-not-inc,Bachelors,Never-married,Adm-clerical,White,Male,40,1
49,Local-gov,9th,Widowed,Handlers-cleaners,White,Male,40,1
27,Local-gov,Some-college,Never-married,Protective-serv,White,Male,40,1
90,Private,HS-grad,Never-married,Other-service,Black,Male,40,0
68,Private,HS-grad,Widowed,Adm-clerical,White,Female,30,0
65,Private,HS-grad,Divorced,Adm-clerical,White,Female,59,0
67,Private,Bachelors,Divorced,Exec-managerial,White,Female,5,0
66,Local-gov,Bachelors,Widowed,Prof-specialty,Black,Female,25,0
24,Private,Some-college,Never-married,Adm-clerical,White,Male,24,0
44,Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,White,Male,35,0
35,Private,Some-college,Never-married,Adm-clerical,White,Female,40,0
20,Private,Assoc,Never-married,Other-service,White,Female,18,0
38,Private,HS-grad,Divorced,Craft-repair,White,Male,40,0
39,Private,Some-college,Never-married,Other-service,Black,Female,40,0
32,Private,Some-college,Never-married,Machine-op-inspct,White,Female,40,0
42,Private,7th-8th,Never-married,Handlers-cleaners,Black,Male,40,0
42,Self-emp-inc,Masters,Divorced,Exec-managerial,Asian-Pac-Islander,Male,60,1
64,Private,11th,Married,Craft-repair,White,Male,40,0
28,Private,7th-8th,Married,Handlers-cleaners,Other,Male,40,0
41,Self-emp-inc,Assoc,Married-civ-spouse,Sales,Other,Male,84,0
41,Self-emp-not-inc,7th-8th,Married,Craft-repair,White,Male,40,0
58,Self-emp-not-inc,1st-4th,Married,Transport-moving,White,Male,18,0
59,State-gov,Some-college,Married,Exec-managerial,White,Male,40,0
34,Self-emp-not-inc,HS-grad,Married,Farming-fishing,White,Female,12,0
45,Private,HS-grad,Married,Transport-moving,White,Male,45,0
29,Private,HS-grad,Married,Adm-clerical,White,Female,40,0
47,Private,10th,Married,Sales,White,Male,52,0
40,Private,Some-college,Married,Machine-op-inspct,White,Male,40,0
47,Self-emp-not-inc,5th-6th,Married,Sales,White,Male,50,0
41,Self-emp-not-inc,HS-grad,Married,Handlers-cleaners,White,Male,40,0
34,Private,Some-college,Married,Transport-moving,Black,Male,40,0
65,Self-emp-not-inc,Some-college,Married,Exec-managerial,White,Male,10,1
70,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,1
75,Self-emp-not-inc,Prof-school,Married,Prof-specialty,White,Male,50,1
65,State-gov,HS-grad,Married,Adm-clerical,White,Male,40,1
65,Federal-gov,Some-college,Married,Exec-managerial,Black,Male,40,1
73,Private,Some-college,Married,Prof-specialty,White,Male,50,1
68,Self-emp-not-inc,Assoc,Married-civ-spouse,Prof-specialty,White,Male,40,0
74,Self-emp-not-inc,HS-grad,Married,Sales,White,Male,20,0
19,Self-emp-not-inc,11th,Married,Craft-repair,White,Male,55,0
37,Self-emp-not-inc,HS-grad,Married,Craft-repair,White,Male,40,0
45,Federal-gov,Assoc,Divorced,Adm-clerical,Asian-Pac-Islander,Male,40,0
64,Private,Masters,Married,Prof-specialty,Asian-Pac-Islander,Male,60,0
30,Private,HS-grad,Married,Transport-moving,White,Male,40,0
51,Self-emp-not-inc,Some-college,Married,Prof-specialty,White,Female,60,0
35,Private,11th,Married,Craft-repair,White,Male,40,0
29,Private,HS-grad,Married,Adm-clerical,White,Female,20,0
34,Private,Some-college,Married,Adm-clerical,White,Female,40,0
41,Private,HS-grad,Married,Craft-repair,White,Male,60,0
35,Private,Some-college,Married,Craft-repair,White,Male,45,0
26,Private,Some-college,Married,Adm-clerical,White,Male,40,0
54,Private,HS-grad,Married,Transport-moving,White,Male,50,0
52,Local-gov,HS-grad,Married,Craft-repair,White,Male,40,0
50,Self-emp-not-inc,HS-grad,Married,Farming-fishing,White,Male,20,0
31,Private,Some-college,Married,Adm-clerical,White,Male,40,0
38,Federal-gov,HS-grad,Married,Transport-moving,White,Male,40,0
30,Private,Some-college,Married,Craft-repair,White,Male,40,0
34,Local-gov,Bachelors,Married,Prof-specialty,White,Male,40,0
31,Private,Some-college,Married,Sales,White,Male,57,0
52,Private,HS-grad,Married,Machine-op-inspct,White,Male,38,0
54,Private,HS-grad,Married,Craft-repair,White,Male,40,0
38,Private,HS-grad,Married,Craft-repair,White,Male,44,0
39,Private,HS-grad,Married,Machine-op-inspct,White,Male,40,0
29,Private,Assoc,Married-civ-spouse,Tech-support,White,Male,40,0
45,Private,HS-grad,Married,Craft-repair,White,Male,40,0
34,Private,HS-grad,Married,Transport-moving,White,Male,55,0
38,Private,HS-grad,Married,Craft-repair,White,Male,40,0
39,Private,10th,Married,Craft-repair,White,Male,40,0
61,Private,HS-grad,Married,Craft-repair,White,Male,20,0
43,Private,11th,Married,Transport-moving,White,Male,40,0
35,Private,Some-college,Married,Handlers-cleaners,White,Male,40,0
46,Private,Some-college,Married,Sales,White,Male,50,0
38,Private,HS-grad,Married,Handlers-cleaners,White,Male,40,0
42,Self-emp-not-inc,HS-grad,Married,Craft-repair,White,Male,48,0
34,Private,Assoc,Married-civ-spouse,Tech-support,White,Male,10,0
29,Private,7th-8th,Married,Farming-fishing,White,Male,40,0
32,Private,11th,Married,Craft-repair,White,Male,30,0
60,Private,HS-grad,Married,Protective-serv,White,Male,34,0
49,Local-gov,HS-grad,Married,Craft-repair,White,Male,40,0
53,Local-gov,HS-grad,Married,Other-service,White,Male,45,0
56,Private,7th-8th,Married,Handlers-cleaners,White,Male,40,0
48,Private,11th,Married,Transport-moving,White,Male,40,0
32,Federal-gov,Bachelors,Married,Prof-specialty,Asian-Pac-Islander,Male,40,0
42,Self-emp-not-inc,HS-grad,Married,Craft-repair,White,Male,40,0
32,Private,Assoc,Married-civ-spouse,Prof-specialty,White,Male,42,0
28,Local-gov,Assoc,Married-civ-spouse,Protective-serv,White,Male,40,0
26,Private,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,0
59,Private,Bachelors,Married,Exec-managerial,White,Male,50,0
47,Self-emp-not-inc,Bachelors,Married,Prof-specialty,White,Male,30,0
41,Private,HS-grad,Married,Craft-repair,White,Male,60,0
36,Private,HS-grad,Married,Craft-repair,White,Female,40,0
45,Private,Bachelors,Married,Sales,White,Male,55,0
30,Private,Assoc,Married-civ-spouse,Prof-specialty,White,Male,40,0
36,Private,HS-grad,Married,Transport-moving,White,Male,40,0
34,Self-emp-inc,HS-grad,Married,Exec-managerial,White,Male,40,0
53,Private,HS-grad,Married,Transport-moving,White,Male,40,0
51,Private,HS-grad,Married,Sales,White,Male,45,0
47,Self-emp-not-inc,Doctorate,Married,Transport-moving,White,Male,45,0
30,Private,HS-grad,Never-married,Adm-clerical,White,Male,42,0
20,Private,HS-grad,Never-married,Other-service,White,Male,40,0
42,Federal-gov,Masters,Divorced,Adm-clerical,White,Male,60,0
31,Private,11th,Never-married,Craft-repair,White,Male,40,0
33,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,40,0
25,Private,Assoc,Never-married,Tech-support,White,Female,30,0
20,Private,HS-grad,Never-married,Other-service,White,Male,40,0
23,Private,HS-grad,Never-married,Adm-clerical,Black,Male,40,0
41,Self-emp-not-inc,Some-college,Divorced,Craft-repair,White,Male,50,0
54,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,White,Male,35,0
25,Private,HS-grad,Never-married,Craft-repair,White,Male,50,0
19,Private,Some-college,Never-married,Adm-clerical,White,Female,40,0
24,Private,HS-grad,Never-married,Adm-clerical,White,Female,37,0
56,Federal-gov,Bachelors,Never-married,Transport-moving,Black,Male,65,0
21,Local-gov,Some-college,Never-married,Other-service,White,Female,40,0
34,Private,HS-grad,Never-married,Machine-op-inspct,Black,Male,40,0
19,Private,HS-grad,Never-married,Adm-clerical,White,Male,40,0
48,Private,HS-grad,Separated,Adm-clerical,White,Female,40,0
34,Private,Bachelors,Never-married,Other-service,White,Male,40,0
31,Private,HS-grad,Never-married,Farming-fishing,White,Male,40,0
36,Private,HS-grad,Never-married,Other-service,Black,Female,40,0
27,Private,HS-grad,Never-married,Other-service,White,Male,40,0
27,Private,Some-college,Never-married,Craft-repair,Asian-Pac-Islander,Male,40,0
35,Private,Bachelors,Divorced,Sales,White,Female,65,0
31,Self-emp-not-inc,Bachelors,Married,Exec-managerial,White,Male,60,0
27,Federal-gov,HS-grad,Never-married,Craft-repair,Black,Male,40,0
28,Local-gov,Assoc,Never-married,Adm-clerical,White,Female,40,0
42,Private,HS-grad,Divorced,Transport-moving,White,Male,46,0
44,Private,Some-college,Separated,Exec-managerial,White,Male,45,0
41,Private,Bachelors,Divorced,Sales,White,Male,56,0
28,Private,Bachelors,Never-married,Tech-support,White,Female,35,0
41,Federal-gov,HS-grad,Never-married,Adm-clerical,White,Female,40,0
35,Private,10th,Widowed,Other-service,Black,Female,40,0
58,Private,Masters,Divorced,Adm-clerical,White,Female,45,0
40,Private,HS-grad,Divorced,Machine-op-inspct,White,Male,48,0
31,Private,Assoc,Never-married,Transport-moving,White,Male,60,0
30,Private,HS-grad,Never-married,Sales,White,Female,40,0
32,Private,Some-college,Separated,Tech-support,Amer-Indian-Eskimo,Male,40,0
25,Private,Some-college,Never-married,Adm-clerical,White,Male,40,0
34,Private,HS-grad,Never-married,Transport-moving,White,Male,40,0
56,Private,Some-college,Divorced,Exec-managerial,White,Female,40,0
45,Private,HS-grad,Divorced,Other-service,White,Male,40,0
50,Private,HS-grad,Never-married,Adm-clerical,White,Male,40,0
27,Private,10th,Never-married,Sales,White,Male,40,0
51,Private,Some-college,Married,Sales,White,Male,40,1
40,Private,Assoc,Married-civ-spouse,Tech-support,White,Male,60,1
41,Private,Masters,Married,Exec-managerial,White,Male,65,1
49,Private,Masters,Married,Exec-managerial,White,Male,45,1
37,Private,Assoc,Married-civ-spouse,Craft-repair,White,Male,40,1
36,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Female,45,1
35,Private,Prof-school,Married,Prof-specialty,White,Male,80,1
29,Self-emp-inc,HS-grad,Married,Sales,White,Female,25,1
50,Private,Bachelors,Married,Prof-specialty,White,Female,40,1
46,Private,Bachelors,Married,Sales,White,Male,40,1
44,Self-emp-not-inc,HS-grad,Married,Exec-managerial,White,Male,45,1
42,Local-gov,Masters,Married,Exec-managerial,White,Male,40,1
38,Federal-gov,Prof-school,Married,Prof-specialty,White,Male,50,1
45,Private,Bachelors,Married,Exec-managerial,White,Male,55,1
43,Local-gov,Masters,Married,Exec-managerial,White,Male,60,1
47,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,60,1
58,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,50,1
48,Private,Prof-school,Married,Tech-support,White,Male,40,1
42,Local-gov,Bachelors,Married,Exec-managerial,White,Male,48,1
55,Private,Masters,Married,Exec-managerial,White,Male,50,1
51,Private,10th,Married,Sales,White,Male,40,1
32,Private,Masters,Married,Exec-managerial,Black,Male,40,1
45,Local-gov,Bachelors,Married,Exec-managerial,White,Male,50,1
56,Private,Masters,Married,Craft-repair,White,Male,44,1
38,Private,Masters,Married,Exec-managerial,White,Male,60,1
45,Private,Assoc,Married-civ-spouse,Sales,White,Male,50,1
49,Private,Masters,Married,Prof-specialty,White,Female,40,1
36,Private,HS-grad,Married,Prof-specialty,White,Male,40,1
49,Private,Masters,Married,Exec-managerial,White,Male,40,1
30,Private,Doctorate,Married,Prof-specialty,Asian-Pac-Islander,Male,40,1
42,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,50,1
55,Private,Masters,Married,Exec-managerial,White,Male,40,1
34,Private,Bachelors,Married,Exec-managerial,White,Male,45,1
54,Private,Doctorate,Married,Prof-specialty,White,Male,50,1
42,Self-emp-not-inc,Bachelors,Married,Exec-managerial,White,Male,70,1
25,Local-gov,Bachelors,Married,Prof-specialty,White,Male,40,1
55,Self-emp-inc,HS-grad,Married,Exec-managerial,White,Male,45,1
58,State-gov,Masters,Married,Prof-specialty,White,Male,50,1
62,Private,HS-grad,Married,Transport-moving,White,Male,60,1
43,Self-emp-inc,Prof-school,Married,Prof-specialty,White,Male,40,1
57,Local-gov,Masters,Married,Prof-specialty,Black,Female,40,1
42,Self-emp-inc,Doctorate,Married,Prof-specialty,White,Male,60,1
63,Self-emp-not-inc,Bachelors,Married,Prof-specialty,Asian-Pac-Islander,Male,32,1
47,Self-emp-not-inc,Prof-school,Married,Prof-specialty,White,Male,50,1
37,Private,Bachelors,Married,Exec-managerial,White,Male,50,1
40,Private,Bachelors,Married,Sales,White,Male,60,1
43,Private,Bachelors,Married,Prof-specialty,White,Male,50,1
43,State-gov,Prof-school,Married,Prof-specialty,White,Male,70,1
41,Self-emp-not-inc,Prof-school,Married,Prof-specialty,White,Male,60,1
32,Private,Prof-school,Married,Prof-specialty,White,Male,60,1
47,Private,Bachelors,Married,Sales,White,Male,40,1
39,Federal-gov,Some-college,Married,Handlers-cleaners,White,Male,60,1
53,Private,Some-college,Married,Exec-managerial,White,Male,40,1
34,Private,Bachelors,Married,Exec-managerial,White,Male,45,1
36,Private,Bachelors,Married,Exec-managerial,White,Male,40,1
47,Local-gov,Masters,Married,Exec-managerial,White,Male,41,1
52,Private,Assoc,Married-civ-spouse,Exec-managerial,White,Male,45,1
40,Self-emp-not-inc,Prof-school,Married,Prof-specialty,Amer-Indian-Eskimo,Male,60,1
42,Self-emp-inc,Bachelors,Married,Prof-specialty,White,Male,40,1
51,Private,Masters,Married,Protective-serv,White,Male,40,1
55,Private,Masters,Married,Tech-support,White,Male,20,1
38,Private,HS-grad,Married,Sales,White,Male,99,1
52,Private,Some-college,Married,Exec-managerial,White,Male,50,1
60,Federal-gov,HS-grad,Married,Tech-support,White,Male,40,1
55,Private,Assoc,Married-civ-spouse,Prof-specialty,White,Male,50,1
47,Local-gov,Masters,Married,Exec-managerial,Black,Male,50,1
46,Private,Masters,Married,Tech-support,White,Male,40,1
35,Private,Masters,Married,Prof-specialty,White,Male,45,1
59,Self-emp-inc,Bachelors,Married,Exec-managerial,White,Male,50,1
57,Private,Masters,Married,Prof-specialty,White,Male,45,1
46,Private,Some-college,Married,Prof-specialty,White,Male,50,1
46,Federal-gov,Masters,Married,Exec-managerial,White,Male,40,1
52,Private,HS-grad,Married,Craft-repair,White,Male,40,1
45,Private,Doctorate,Married,Prof-specialty,White,Female,30,1
37,Private,Bachelors,Married,Tech-support,White,Male,40,1
46,Private,Masters,Married,Exec-managerial,White,Male,45,1
44,Private,Bachelors,Married,Prof-specialty,Black,Male,50,1
45,Private,Assoc,Married-civ-spouse,Exec-managerial,White,Male,50,1
43,Private,HS-grad,Married,Machine-op-inspct,White,Male,52,1
54,Local-gov,Masters,Married,Prof-specialty,White,Male,40,1
50,Private,Masters,Married,Prof-specialty,White,Male,40,1
45,Private,Bachelors,Married,Prof-specialty,White,Male,40,1
36,Private,Masters,Married,Prof-specialty,White,Male,60,1
27,Private,Bachelors,Married,Exec-managerial,White,Male,50,1
36,Private,Bachelors,Married,Sales,White,Male,35,1
53,Private,Masters,Married,Exec-managerial,White,Male,55,1
51,Local-gov,Masters,Married,Prof-specialty,White,Male,35,1
28,Private,Bachelors,Married,Prof-specialty,White,Female,24,1
47,Self-emp-not-inc,Some-college,Married,Craft-repair,White,Male,40,1
45,Private,Bachelors,Married,Exec-managerial,White,Male,60,1
45,Local-gov,Masters,Married,Prof-specialty,White,Female,35,1
39,Self-emp-not-inc,Prof-school,Married,Prof-specialty,White,Male,50,1
39,Private,Bachelors,Married,Exec-managerial,White,Male,40,1
55,Self-emp-not-inc,Masters,Married,Prof-specialty,White,Male,40,1
62,Private,Some-college,Married,Exec-managerial,White,Male,98,1
49,Private,Bachelors,Married,Sales,Asian-Pac-Islander,Male,50,1
53,Self-emp-not-inc,Masters,Married,Exec-managerial,White,Male,40,1
31,Private,Masters,Married,Exec-managerial,White,Male,48,1
42,Self-emp-inc,HS-grad,Married,Exec-managerial,White,Male,60,1
39,Private,Bachelors,Married,Transport-moving,White,Male,45,1
60,Self-emp-not-inc,Bachelors,Married,Exec-managerial,White,Male,45,1
