age,workclass,education,marital.status,hours.per.week,sex,race,income
19,Private,Some-college,Never-married,24,Male,White,0
39,Private,HS-grad,Never-married,40,Female,Black,0
53,Private,5th-6th,Divorced,40,Female,Black,0
21,Private,HS-grad,Never-married,30,Female,Black,0
18,Private,Some-college,Never-married,15,Male,White,0
18,Private,Some-college,Never-married,25,Male,Black,0
30,Private,9th,Never-married,40,Male,Asian-Pac-Islander,0
19,Private,HS-grad,Never-married,28,Female,Black,0
20,Private,Some-college,Never-married,30,Female,Black,0
21,Private,Some-college,Never-married,30,Female,White,0
18,Private,Some-college,Never-married,30,Female,White,0
19,Private,10th,Never-married,22,Female,Black,0
19,Private,Some-college,Never-married,43,Male,White,0
46,Private,HS-grad,Divorced,40,Male,White,0
19,Private,Some-college,Never-married,40,Male,Black,0
50,Private,9th,Never-married,40,Male,White,0
18,Self-emp-not-inc,Some-college,Never-married,4,Male,White,0
19,Private,Some-college,Never-married,40,Male,Black,0
28,Private,7th-8th,Never-married,40,Male,White,0
22,Private,Some-college,Married,10,Male,White,0
18,Private,10th,Never-married,35,Female,Black,0
18,Private,11th,Never-married,18,Female,White,0
30,Private,HS-grad,Never-married,40,Male,White,0
18,Local-gov,HS-grad,Never-married,20,Male,Black,0
19,Private,Some-college,Never-married,40,Male,White,0
18,Private,Some-college,Never-married,25,Female,White,0
19,Private,Some-college,Never-married,25,Female,Black,0
30,Private,Preschool,Never-married,40,Male,White,0
20,Private,Some-college,Never-married,34,Female,Black,0
21,State-gov,Some-college,Never-married,40,Female,White,0
19,Private,HS-grad,Never-married,20,Female,White,0
50,Private,Some-college,Divorced,30,Male,White,0
20,Private,Some-college,Never-married,32,Female,Black,0
36,Private,9th,Never-married,15,Male,Black,0
36,Private,Bachelors,Divorced,40,Male,White,0
31,Private,9th,Never-married,40,Female,White,0
30,Private,Preschool,Never-married,40,Male,White,0
38,Private,HS-grad,Married,40,Female,Black,0
18,Private,Some-college,Never-married,20,Female,White,0
30,Private,Preschool,Never-married,40,Male,White,0
25,Private,HS-grad,Never-married,40,Male,White,0
19,Private,HS-grad,Never-married,30,Female,Black,0
19,Private,Some-college,Never-married,60,Male,White,0
39,Private,HS-grad,Never-married,38,Male,Black,0
18,Private,HS-grad,Never-married,25,Female,White,0
30,Private,Some-college,Married,35,Male,Black,0
25,Private,HS-grad,Never-married,50,Male,White,0
44,Private,Some-college,Divorced,40,Female,Black,0
29,Private,Some-college,Never-married,45,Male,White,0
18,Private,11th,Never-married,25,Male,Black,0
19,Private,Some-college,Never-married,11,Male,White,0
41,Private,Some-college,Divorced,50,Male,White,0
50,Private,9th,Married,40,Female,White,0
20,Private,Some-college,Never-married,24,Male,Black,0
20,Private,Some-college,Never-married,25,Female,Black,0
57,Federal-gov,Prof-school,Never-married,35,Male,Black,0
18,Private,11th,Never-married,25,Male,Black,0
19,Private,Some-college,Never-married,11,Male,White,0
28,Private,Some-college,Separated,50,Female,White,0
21,Private,HS-grad,Never-married,30,Female,Black,0
19,Private,Some-college,Never-married,10,Female,Black,0
21,Private,Some-college,Never-married,15,Female,Black,0
19,Private,Some-college,Never-married,10,Female,White,0
22,Private,Some-college,Married,10,Male,White,0
46,Private,HS-grad,Divorced,40,Male,White,0
21,Private,Some-college,Never-married,40,Male,White,0
53,Self-emp-inc,10th,Married,50,Male,White,0
19,Private,HS-grad,Never-married,40,Male,Black,0
21,Private,Some-college,Never-married,18,Female,Black,0
24,Federal-gov,HS-grad,Never-married,48,Male,White,0
37,Private,Some-college,Divorced,35,Female,White,0
48,Private,Some-college,Divorced,36,Female,White,0
33,Private,HS-grad,Never-married,40,Male,White,0
48,Private,Some-college,Never-married,40,Male,Black,0
19,Private,Some-college,Never-married,24,Male,White,0
18,Private,Some-college,Never-married,28,Female,Black,0
22,Private,Some-college,Married,40,Female,White,0
35,Private,11th,Married,40,Male,White,0
46,Private,HS-grad,Never-married,40,Female,White,0
21,Private,Some-college,Never-married,15,Female,White,0
30,Private,HS-grad,Divorced,40,Male,White,0
35,Private,12th,Divorced,40,Male,White,0
22,Private,Some-college,Never-married,10,Female,White,0
19,Private,Some-college,Never-married,24,Male,White,0
29,Private,9th,Never-married,40,Male,White,0
48,Private,Some-college,Divorced,36,Female,White,0
26,Private,HS-grad,Married,45,Male,White,0
18,Private,Some-college,Never-married,10,Female,White,0
18,Private,HS-grad,Never-married,3,Female,White,0
21,Federal-gov,Some-college,Never-married,15,Female,White,0
39,Private,Some-college,Never-married,60,Male,Other,0
52,Private,Some-college,Divorced,40,Male,Black,1
30,Private,HS-grad,Married,40,Male,White,0
21,Private,HS-grad,Never-married,20,Female,White,0
46,Private,HS-grad,Divorced,65,Male,White,0
47,Private,10th,Divorced,40,Male,White,0
29,Private,HS-grad,Never-married,40,Male,White,0
20,Private,Some-college,Never-married,32,Female,Black,0
19,Private,HS-grad,Never-married,28,Female,Black,0
20,Private,Some-college,Never-married,30,Male,Black,0
37,Private,10th,Never-married,40,Male,Black,0
21,Private,Some-college,Never-married,40,Female,Black,0
33,Private,HS-grad,Never-married,40,Male,White,0
20,Private,Some-college,Never-married,30,Male,Black,0
18,Private,10th,Never-married,35,Female,Black,0
18,Private,Some-college,Never-married,11,Female,Black,0
19,Private,10th,Never-married,22,Female,Black,0
19,Private,Some-college,Never-married,11,Male,Other,0
20,Private,Some-college,Never-married,25,Female,Black,0
26,Private,Some-college,Never-married,75,Male,White,0
27,Federal-gov,HS-grad,Never-married,40,Female,White,0
27,Private,HS-grad,Never-married,40,Female,Black,0
22,Private,Some-college,Never-married,24,Female,White,0
20,Private,Some-college,Never-married,10,Female,Black,0
46,State-gov,Some-college,Divorced,40,Female,Other,0
18,Private,Some-college,Never-married,10,Male,Black,0
19,Private,Some-college,Never-married,25,Female,Black,0
35,Private,11th,Married,40,Male,White,0
49,State-gov,HS-grad,Divorced,30,Female,White,0
21,Private,Some-college,Never-married,40,Male,White,0
19,Private,HS-grad,Never-married,20,Female,White,0
55,Private,HS-grad,Never-married,40,Male,Black,0
19,Private,Some-college,Never-married,5,Female,Black,0
24,Federal-gov,HS-grad,Never-married,48,Male,White,0
31,Private,HS-grad,Never-married,40,Male,Black,0
18,Private,Some-college,Never-married,30,Female,White,0
20,Private,Some-college,Never-married,35,Female,White,0
19,Private,Some-college,Never-married,30,Female,White,0
24,Private,11th,Never-married,45,Female,White,0
19,Private,Some-college,Never-married,30,Male,Black,0
18,State-gov,HS-grad,Never-married,12,Female,White,0
20,Private,11th,Never-married,36,Male,White,0
19,Private,HS-grad,Never-married,30,Female,White,0
37,Private,Some-college,Married,40,Male,Black,0
20,Private,Some-college,Never-married,40,Female,White,0
18,Private,HS-grad,Never-married,25,Female,White,0
19,Private,Some-college,Never-married,5,Female,White,0
18,Private,HS-grad,Never-married,40,Female,Black,0
20,Private,Some-college,Never-married,8,Male,Other,0
22,Private,Some-college,Never-married,20,Female,Black,0
19,State-gov,Some-college,Never-married,15,Male,Black,0
25,Private,HS-grad,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,40,Female,White,0
48,Private,Some-college,Never-married,40,Male,Black,0
18,Private,HS-grad,Never-married,40,Female,Black,0
19,Private,Some-college,Never-married,40,Female,White,0
35,Private,11th,Married,40,Male,White,0
25,Private,Bachelors,Never-married,30,Male,White,0
33,Private,10th,Never-married,40,Male,Black,0
21,Private,HS-grad,Never-married,10,Female,White,0
25,Private,9th,Never-married,40,Male,White,1
20,Private,Some-college,Never-married,32,Male,Black,0
19,Private,Some-college,Never-married,43,Male,White,0
52,Private,Some-college,Divorced,40,Male,Black,1
31,Private,11th,Never-married,60,Male,White,0
18,Local-gov,HS-grad,Never-married,20,Male,Black,0
20,Private,Some-college,Never-married,30,Female,Black,0
21,Private,HS-grad,Never-married,30,Female,Black,0
47,Private,10th,Divorced,40,Male,White,0
21,Private,Some-college,Never-married,30,Female,White,0
25,Private,Bachelors,Never-married,30,Male,White,0
21,Local-gov,Some-college,Never-married,16,Female,White,0
20,Private,Some-college,Never-married,30,Female,Black,0
22,Private,10th,Never-married,40,Male,Black,0
30,Private,HS-grad,Married,40,Male,White,0
26,Private,HS-grad,Never-married,32,Male,Black,0
64,Private,Some-college,Divorced,35,Male,White,1
18,Private,Some-college,Never-married,25,Male,Black,0
20,Private,Some-college,Never-married,40,Female,White,0
19,Private,Some-college,Never-married,25,Female,Black,0
39,Private,HS-grad,Married,50,Male,White,0
35,Self-emp-not-inc,HS-grad,Married,40,Female,White,0
20,Private,Some-college,Never-married,15,Male,Other,0
19,Private,Some-college,Never-married,10,Female,Black,0
21,Private,Some-college,Never-married,40,Male,White,0
20,Private,Some-college,Never-married,30,Female,Black,0
41,Private,HS-grad,Divorced,40,Male,White,0
49,State-gov,HS-grad,Divorced,30,Female,White,0
19,Private,Some-college,Never-married,40,Male,Black,0
48,Private,Some-college,Divorced,36,Female,White,0
18,Private,11th,Never-married,25,Male,Black,0
21,Private,HS-grad,Never-married,30,Female,Black,0
21,Private,Some-college,Never-married,15,Female,White,0
20,Private,Some-college,Never-married,25,Male,White,0
22,Private,Some-college,Never-married,18,Female,Black,0
19,Private,Some-college,Never-married,35,Male,White,0
21,Federal-gov,HS-grad,Never-married,75,Female,White,0
51,Private,Some-college,Never-married,40,Male,Black,0
54,Self-emp-not-inc,HS-grad,Separated,15,Male,Other,0
21,Private,Some-college,Never-married,18,Female,Black,0
18,Private,Some-college,Never-married,15,Female,White,0
18,Private,Some-college,Never-married,38,Male,White,0
51,Private,Assoc,Divorced,60,Female,White,0
62,Federal-gov,5th-6th,Separated,40,Male,Black,0
32,Private,Some-college,Married,40,Female,Black,0
19,Private,Some-college,Never-married,11,Male,Other,0
22,Private,Some-college,Never-married,10,Male,White,0
20,Private,Some-college,Never-married,28,Male,Black,0
39,Private,Some-college,Divorced,35,Female,White,0
51,Self-emp-not-inc,Assoc,Divorced,20,Female,White,0
18,Private,Some-college,Never-married,10,Female,White,0
42,Private,HS-grad,Divorced,40,Male,White,1
18,Private,Some-college,Never-married,25,Male,White,0
30,Private,HS-grad,Married,40,Male,White,0
21,Private,HS-grad,Never-married,20,Female,White,0
23,Private,10th,Never-married,40,Female,Black,0
17,Private,11th,Never-married,30,Female,Black,0
20,Private,Some-college,Never-married,30,Female,White,0
19,Private,Some-college,Never-married,40,Male,White,0
20,Private,Some-college,Never-married,15,Male,Black,0
25,Private,HS-grad,Never-married,40,Male,White,0
30,Private,HS-grad,Never-married,40,Female,Black,0
22,Private,HS-grad,Separated,40,Male,White,0
18,Private,Some-college,Never-married,15,Female,White,0
18,Private,Some-college,Never-married,35,Male,White,0
18,State-gov,HS-grad,Never-married,12,Female,White,0
22,Private,Some-college,Never-married,10,Female,White,0
18,Private,Some-college,Never-married,30,Female,White,0
18,Private,HS-grad,Never-married,25,Female,White,0
18,Private,11th,Never-married,25,Male,Black,0
39,Private,Some-college,Divorced,35,Female,White,0
29,Private,HS-grad,Married,40,Male,White,0
23,Federal-gov,Some-college,Married,50,Male,White,0
23,Self-emp-inc,Some-college,Never-married,40,Male,White,0
21,Federal-gov,Some-college,Never-married,50,Male,White,0
18,Private,Some-college,Never-married,25,Male,White,0
39,Private,HS-grad,Never-married,40,Female,Black,0
19,Private,Some-college,Never-married,30,Female,Black,0
35,Private,11th,Married,40,Male,White,0
19,Private,10th,Never-married,40,Male,Black,0
18,Private,Some-college,Never-married,40,Female,White,0
21,Private,9th,Never-married,7,Male,Black,0
19,Private,Some-college,Never-married,40,Female,Black,0
21,Private,Some-college,Never-married,10,Female,White,0
19,Private,Some-college,Never-married,10,Male,Black,0
41,Private,12th,Divorced,32,Female,Black,1
36,Private,11th,Never-married,45,Female,White,0
19,Private,Some-college,Never-married,25,Female,Black,0
21,Private,Some-college,Never-married,10,Female,White,0
21,Private,Some-college,Never-married,20,Female,Black,0
22,Private,Some-college,Never-married,30,Male,Black,0
21,Private,Some-college,Never-married,40,Male,White,0
24,Private,Some-college,Never-married,6,Female,Black,0
18,Private,Some-college,Never-married,38,Male,White,0
18,Private,HS-grad,Never-married,25,Female,Black,0
26,Private,HS-grad,Never-married,32,Male,Black,0
46,Private,HS-grad,Divorced,65,Male,White,0
19,Private,7th-8th,Never-married,40,Male,Black,0
44,Private,HS-grad,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,35,Male,White,0
44,Private,HS-grad,Never-married,45,Male,Black,0
22,State-gov,Some-college,Never-married,20,Male,White,0
48,Private,Some-college,Divorced,36,Female,White,0
22,Private,11th,Never-married,23,Female,White,0
19,Private,Some-college,Never-married,20,Female,White,0
19,Private,HS-grad,Never-married,30,Female,Black,0
41,Private,HS-grad,Never-married,40,Male,White,0
24,Federal-gov,HS-grad,Never-married,48,Male,White,0
20,Local-gov,Some-college,Never-married,40,Male,Black,0
18,Private,Some-college,Never-married,35,Male,White,0
20,Private,Some-college,Never-married,15,Male,Other,0
21,Private,Some-college,Never-married,20,Female,Black,0
29,Private,Some-college,Never-married,30,Female,Black,0
55,State-gov,HS-grad,Divorced,40,Male,Black,0
21,Private,Some-college,Never-married,10,Female,White,0
30,Self-emp-not-inc,HS-grad,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,17,Female,White,0
43,Private,HS-grad,Divorced,10,Female,White,0
48,Private,Some-college,Never-married,40,Male,Black,0
18,Private,11th,Never-married,18,Female,White,0
19,Local-gov,Some-college,Never-married,35,Male,White,0
33,Private,HS-grad,Never-married,40,Male,White,0
20,Private,Some-college,Never-married,40,Female,Black,0
20,Federal-gov,Some-college,Never-married,10,Female,White,0
31,Self-emp-not-inc,HS-grad,Divorced,40,Male,White,0
22,Private,Some-college,Never-married,25,Male,White,0
33,Private,HS-grad,Never-married,40,Male,Black,0
19,Private,HS-grad,Never-married,30,Female,White,0
18,Private,Some-college,Never-married,15,Male,White,0
28,Private,Some-college,Never-married,40,Male,Black,0
30,Private,HS-grad,Married,40,Male,White,0
18,Private,Some-college,Never-married,20,Female,White,0
18,Private,11th,Never-married,25,Male,Black,0
22,State-gov,Some-college,Never-married,20,Male,White,0
22,Private,Some-college,Never-married,25,Female,White,0
19,Private,HS-grad,Never-married,20,Female,White,0
19,Private,HS-grad,Never-married,20,Female,White,0
23,Self-emp-inc,Some-college,Never-married,40,Male,White,0
21,Private,Some-college,Never-married,15,Female,White,0
20,Federal-gov,Some-college,Never-married,10,Female,White,0
19,Private,Some-college,Never-married,5,Female,White,0
41,Private,10th,Married,44,Male,Black,0
21,Private,Some-college,Never-married,10,Male,Black,0
18,Self-emp-not-inc,Some-college,Never-married,24,Female,White,0
18,Private,HS-grad,Never-married,40,Female,Black,0
18,Local-gov,HS-grad,Never-married,20,Male,Black,0
34,Self-emp-not-inc,9th,Never-married,40,Male,White,0
28,Private,Some-college,Separated,50,Female,White,0
32,Private,Some-college,Never-married,40,Male,White,0
56,Private,HS-grad,Widowed,28,Female,White,0
19,Private,Some-college,Never-married,35,Male,White,0
34,Self-emp-not-inc,9th,Never-married,40,Male,White,0
33,Self-emp-not-inc,Assoc,Divorced,60,Female,White,0
18,Private,Some-college,Never-married,40,Male,White,0
37,Private,Some-college,Divorced,35,Female,White,0
18,Private,Some-college,Never-married,20,Female,Black,0
19,Private,Some-college,Never-married,8,Female,White,0
19,Private,Some-college,Never-married,8,Female,White,0
17,Private,7th-8th,Never-married,30,Female,White,0
28,Private,7th-8th,Never-married,40,Male,White,0
52,Private,Some-college,Divorced,40,Male,Black,1
20,Private,Some-college,Never-married,15,Male,Black,0
19,Private,Some-college,Never-married,24,Male,White,0
18,Private,Some-college,Never-married,11,Female,Black,0
31,Federal-gov,Some-college,Never-married,30,Male,Other,0
22,Private,Some-college,Never-married,10,Female,White,0
30,Self-emp-not-inc,HS-grad,Never-married,40,Male,White,0
18,Local-gov,HS-grad,Never-married,25,Female,White,0
35,State-gov,11th,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,18,Female,White,0
21,Private,Some-college,Never-married,15,Female,Black,0
44,Private,11th,Divorced,40,Male,Black,0
52,Private,Some-college,Divorced,40,Male,White,0
19,Private,Some-college,Never-married,9,Male,White,0
30,Private,Some-college,Married,35,Male,Black,0
19,Private,Some-college,Never-married,18,Female,White,0
19,Private,Some-college,Never-married,20,Female,White,0
60,Private,HS-grad,Widowed,40,Male,White,0
30,Private,Some-college,Married,35,Male,Black,0
38,Private,Some-college,Divorced,40,Female,Black,0
30,Private,Preschool,Never-married,40,Male,White,0
25,State-gov,HS-grad,Never-married,40,Male,Black,0
21,Private,Some-college,Never-married,15,Female,White,0
18,Private,Some-college,Never-married,25,Male,Black,0
19,Private,HS-grad,Never-married,40,Male,Black,0
69,Federal-gov,Some-college,Married,40,Male,White,0
18,Private,Some-college,Never-married,18,Female,White,0
20,Private,Some-college,Never-married,25,Male,White,0
19,Private,Some-college,Never-married,20,Male,White,0
31,Private,HS-grad,Never-married,40,Male,Black,0
21,Private,Some-college,Never-married,45,Male,Black,0
24,Private,Some-college,Never-married,6,Female,Black,0
19,Private,Some-college,Never-married,44,Male,White,0
22,State-gov,Some-college,Never-married,20,Male,White,0
24,Federal-gov,Some-college,Never-married,90,Male,Other,0
36,Private,7th-8th,Divorced,44,Male,White,0
56,Private,HS-grad,Widowed,28,Female,White,0
35,Local-gov,HS-grad,Never-married,35,Male,Black,0
18,Private,Some-college,Never-married,21,Female,Black,0
23,Private,11th,Never-married,40,Male,White,0
35,Private,Some-college,Never-married,45,Male,Black,0
24,Private,Bachelors,Never-married,50,Female,White,0
20,Private,Some-college,Never-married,15,Male,Other,0
50,Private,HS-grad,Separated,40,Male,White,0
21,Private,Some-college,Never-married,40,Male,White,0
50,Private,9th,Never-married,40,Male,Black,0
19,Private,Some-college,Never-married,11,Male,Other,0
19,Private,Some-college,Never-married,8,Female,White,0
21,Private,Some-college,Never-married,4,Female,Black,0
19,Private,Some-college,Never-married,20,Male,White,0
18,Private,Some-college,Never-married,40,Female,White,0
19,Private,Some-college,Never-married,10,Male,Black,0
19,Private,Some-college,Never-married,40,Male,White,0
20,Private,Some-college,Never-married,32,Female,Black,0
27,Private,HS-grad,Never-married,40,Female,Black,0
22,Private,Some-college,Never-married,70,Male,White,0
22,Private,HS-grad,Separated,40,Male,White,0
32,Private,Assoc,Separated,15,Male,White,0
22,Private,Some-college,Never-married,20,Female,Black,0
22,Private,Some-college,Never-married,25,Male,White,0
35,Private,11th,Married,40,Male,White,0
21,Federal-gov,Some-college,Never-married,75,Male,Black,0
19,Private,Some-college,Never-married,17,Male,White,0
53,Self-emp-inc,10th,Married,50,Male,White,0
20,Private,Some-college,Never-married,40,Female,Black,0
19,Private,Some-college,Never-married,24,Male,White,0
44,Self-emp-not-inc,Some-college,Married,80,Male,White,1
29,Private,Bachelors,Married,40,Male,White,0
24,Private,HS-grad,Never-married,40,Male,Black,0
44,Self-emp-not-inc,Some-college,Married,80,Male,White,1
19,Federal-gov,Some-college,Never-married,5,Female,Black,0
20,Private,Some-college,Never-married,10,Female,Black,0
19,Private,Some-college,Never-married,30,Male,Black,0
63,Private,HS-grad,Divorced,20,Male,White,0
20,Private,Some-college,Never-married,35,Female,White,0
23,Private,Some-college,Never-married,40,Male,Black,0
34,Private,Some-college,Never-married,40,Male,White,0
18,Local-gov,HS-grad,Never-married,25,Female,White,0
38,Private,Bachelors,Never-married,40,Male,Black,0
18,Private,Some-college,Never-married,14,Female,White,0
18,Private,Some-college,Never-married,10,Female,White,0
44,Private,HS-grad,Divorced,30,Male,White,0
18,Private,Some-college,Never-married,20,Female,Black,0
20,Private,Some-college,Never-married,32,Female,White,0
22,Private,11th,Never-married,40,Male,Black,0
18,Private,Some-college,Never-married,32,Female,White,0
22,Private,Some-college,Never-married,20,Female,Black,0
31,Private,11th,Never-married,35,Male,White,0
18,Private,HS-grad,Never-married,25,Female,White,0
20,Private,Some-college,Never-married,36,Male,White,0
51,Self-emp-not-inc,Assoc,Divorced,20,Female,White,0
43,Private,Some-college,Never-married,30,Male,Amer-Indian-Eskimo,0
18,Private,Some-college,Never-married,25,Male,Black,0
19,Private,Some-college,Never-married,32,Female,Black,0
18,Private,HS-grad,Never-married,25,Female,White,0
19,Private,HS-grad,Never-married,30,Female,White,0
20,Private,Some-college,Never-married,10,Female,Black,0
20,Private,Some-college,Never-married,20,Female,Black,0
31,Private,11th,Never-married,60,Male,White,0
24,Private,9th,Never-married,40,Female,White,0
19,Private,Some-college,Never-married,10,Female,Black,0
18,Private,10th,Never-married,35,Female,Black,0
28,Private,HS-grad,Never-married,40,Male,White,0
44,State-gov,Some-college,Divorced,35,Female,Black,0
51,Private,HS-grad,Married,40,Male,White,0
33,Private,HS-grad,Never-married,40,Female,White,0
40,Federal-gov,HS-grad,Divorced,10,Male,Black,0
19,Private,Some-college,Never-married,11,Male,White,0
19,Private,Some-college,Never-married,17,Female,White,0
22,State-gov,Some-college,Never-married,25,Male,White,0
18,Private,Some-college,Never-married,27,Male,White,0
22,State-gov,Some-college,Never-married,25,Male,White,0
29,Self-emp-not-inc,Some-college,Never-married,80,Male,White,0
18,Private,Some-college,Never-married,25,Male,Black,0
19,Private,Some-college,Never-married,44,Male,White,0
21,Private,Some-college,Never-married,40,Male,White,0
21,Private,Some-college,Never-married,2,Female,Black,0
21,Private,Some-college,Never-married,10,Male,Black,0
38,Private,HS-grad,Married,40,Female,Black,0
25,Private,11th,Divorced,40,Male,Black,0
22,Private,Some-college,Married,10,Male,White,0
28,Private,HS-grad,Never-married,40,Male,White,0
19,Private,10th,Never-married,22,Female,Black,0
48,Self-emp-inc,HS-grad,Divorced,40,Female,White,0
20,Private,Some-college,Never-married,18,Male,Black,0
18,Private,11th,Never-married,25,Male,Black,0
21,Private,Some-college,Never-married,15,Female,White,0
17,Private,11th,Never-married,30,Female,Black,0
19,Private,HS-grad,Never-married,28,Female,Black,0
21,Private,Some-college,Never-married,20,Female,Black,0
21,Federal-gov,Some-college,Never-married,75,Male,Black,0
25,Private,Bachelors,Never-married,30,Male,White,0
29,Private,Some-college,Never-married,45,Male,White,0
21,Private,Some-college,Never-married,15,Female,Black,0
26,Private,HS-grad,Never-married,40,Male,Black,0
30,Federal-gov,HS-grad,Never-married,30,Male,Black,0
24,Private,HS-grad,Never-married,40,Male,Black,0
29,Private,9th,Never-married,40,Male,White,0
22,Private,11th,Never-married,23,Female,White,0
21,Local-gov,Some-college,Never-married,6,Female,Amer-Indian-Eskimo,0
18,Private,Some-college,Never-married,10,Female,Black,0
20,Private,Some-college,Never-married,30,Male,White,0
24,Federal-gov,HS-grad,Never-married,48,Male,White,0
18,Private,Some-college,Never-married,34,Female,Black,0
24,Private,Some-college,Never-married,6,Female,Black,0
31,Private,9th,Never-married,40,Female,White,0
51,Private,Assoc,Divorced,60,Female,White,0
19,Private,Some-college,Never-married,5,Female,White,0
50,Private,9th,Never-married,40,Male,Black,0
51,Private,HS-grad,Married,40,Male,White,0
48,Private,Some-college,Divorced,36,Female,White,0
50,Private,Some-college,Divorced,30,Male,White,0
48,Private,Some-college,Never-married,40,Male,Black,0
23,Self-emp-inc,Some-college,Never-married,40,Male,White,0
19,Private,Some-college,Never-married,9,Male,White,0
39,Private,HS-grad,Never-married,40,Female,Black,0
46,Private,HS-grad,Never-married,40,Female,White,0
24,Private,HS-grad,Never-married,40,Male,Black,0
33,Self-emp-not-inc,Assoc,Divorced,60,Female,White,0
31,Private,5th-6th,Never-married,40,Male,White,0
21,Private,Some-college,Never-married,15,Female,White,0
18,Private,Some-college,Never-married,25,Female,White,0
27,Federal-gov,HS-grad,Never-married,40,Female,White,0
39,Private,9th,Divorced,20,Male,White,0
20,Private,Some-college,Never-married,30,Male,Black,0
20,Private,Some-college,Never-married,28,Male,Black,0
21,Federal-gov,Some-college,Never-married,15,Female,White,0
18,Self-emp-not-inc,Some-college,Never-married,11,Male,White,0
18,Private,Some-college,Never-married,28,Female,Black,0
19,Private,Some-college,Never-married,20,Male,Black,0
21,Local-gov,Some-college,Never-married,16,Female,White,0
48,Private,Some-college,Divorced,36,Female,White,0
19,Private,Some-college,Never-married,20,Male,White,0
27,Self-emp-not-inc,Preschool,Divorced,20,Female,White,0
22,Private,12th,Never-married,40,Male,Black,0
21,Private,Some-college,Never-married,40,Male,White,0
21,Private,Some-college,Never-married,18,Female,Black,0
18,Private,HS-grad,Never-married,25,Female,White,0
20,Private,Some-college,Never-married,28,Male,Black,0
18,Private,Some-college,Never-married,15,Male,White,0
19,Private,Some-college,Never-married,10,Female,Black,0
19,Private,Some-college,Never-married,32,Female,Black,0
42,Federal-gov,Doctorate,Divorced,20,Male,White,0
19,Private,Some-college,Never-married,40,Male,White,0
23,Private,Some-college,Never-married,40,Male,Black,0
41,Private,HS-grad,Divorced,40,Male,White,0
22,Private,Some-college,Never-married,70,Male,White,0
19,Private,10th,Never-married,27,Male,White,0
19,Private,Some-college,Never-married,40,Male,Other,0
31,Private,5th-6th,Divorced,40,Male,White,0
18,Self-emp-not-inc,Some-college,Never-married,4,Male,White,0
18,Private,Some-college,Never-married,10,Female,White,0
22,Private,10th,Never-married,30,Female,White,0
20,Private,Some-college,Never-married,28,Male,Black,0
17,Private,11th,Never-married,30,Female,White,0
