age,workclass,education,marital.status,race,sex,hours.per.week,income
53,Private,Some-college,Separated,White,Male,45,1
40,Local-gov,Some-college,Never-married,White,Male,40,1
38,Private,Bachelors,Never-married,White,Female,45,1
33,Private,Assoc,Separated,White,Male,42,1
43,Private,Assoc,Divorced,White,Male,70,1
50,Self-emp-inc,11th,Never-married,White,Male,40,1
44,Private,Some-college,Married,White,Female,6,1
51,Self-emp-not-inc,Bachelors,Married,Asian-Pac-Islander,Male,40,1
41,Private,Prof-school,Married,White,Male,40,1
37,Private,Masters,Married,White,Male,60,1
55,Self-emp-inc,Prof-school,Married,White,Male,35,1
39,Self-emp-inc,Bachelors,Married,White,Male,60,1
42,Self-emp-inc,Prof-school,Married,White,Male,60,1
49,Private,Bachelors,Married,White,Male,55,1
47,Self-emp-not-inc,HS-grad,Married,White,Male,50,1
41,Local-gov,Prof-school,Married,White,Male,45,1
55,Self-emp-inc,Bachelors,Married,White,Male,50,1
39,Private,Masters,Married,White,Female,65,1
42,Private,Bachelors,Married,White,Male,60,1
46,Private,Masters,Married,White,Male,65,1
40,Private,Masters,Married,White,Male,45,1
32,Private,Bachelors,Married,White,Male,48,1
41,Self-emp-inc,Some-college,Married,White,Male,55,1
60,Self-emp-inc,Prof-school,Married,White,Male,80,1
31,Private,Masters,Married,White,Male,70,1
58,Self-emp-not-inc,Some-college,Married,White,Male,40,1
37,Self-emp-inc,Bachelors,Married,White,Male,50,1
44,Self-emp-not-inc,Bachelors,Married,White,Male,50,1
55,Self-emp-inc,Bachelors,Married,White,Male,50,1
44,Self-emp-inc,Masters,Married,White,Male,55,1
39,Private,Prof-school,Married,Asian-Pac-Islander,Male,67,1
46,Self-emp-not-inc,Bachelors,Married,White,Male,40,1
39,Private,Some-college,Married,White,Male,99,1
62,Self-emp-inc,Bachelors,Married,White,Male,60,1
31,Self-emp-not-inc,HS-grad,Married,White,Female,40,1
46,Private,Bachelors,Married,Asian-Pac-Islander,Male,35,1
46,Self-emp-not-inc,Prof-school,Married,White,Male,80,1
39,Self-emp-inc,Assoc,Married-civ-spouse,White,Male,40,1
39,Private,Prof-school,Married,White,Male,99,1
59,Private,Doctorate,Married,White,Male,45,1
50,Self-emp-inc,Prof-school,Married,White,Male,60,1
46,Private,Doctorate,Married,White,Male,55,1
53,Self-emp-not-inc,Bachelors,Married,White,Male,40,1
50,Self-emp-not-inc,Prof-school,Married,White,Male,30,1
41,Self-emp-inc,Prof-school,Married,White,Female,55,1
36,Private,Bachelors,Married,White,Male,45,1
38,Private,Prof-school,Married,White,Male,90,1
54,Private,Some-college,Married,White,Male,50,1
50,Private,Bachelors,Married,White,Female,20,1
47,Private,Bachelors,Married,White,Male,60,1
47,Self-emp-inc,Prof-school,Married,White,Male,45,1
67,Private,Bachelors,Widowed,White,Male,40,1
67,Self-emp-inc,Bachelors,Married,White,Male,75,1
72,Self-emp-not-inc,Doctorate,Married,White,Male,25,1
46,Self-emp-inc,Masters,Married,White,Male,50,1
78,Self-emp-inc,Bachelors,Married,White,Male,40,1
71,Self-emp-inc,Bachelors,Married,White,Male,60,1
83,Self-emp-inc,Bachelors,Married,White,Male,55,1
68,Private,Masters,Married,White,Male,40,1
26,Private,Assoc,Married-civ-spouse,White,Male,45,0
68,State-gov,Doctorate,Married,White,Male,60,1
49,Self-emp-inc,HS-grad,Married,White,Female,40,1
36,Private,HS-grad,Married,White,Male,60,0
70,Self-emp-not-inc,Bachelors,Married,White,Male,12,1
27,Private,Some-college,Married,Black,Female,20,0
35,Local-gov,Some-college,Married,White,Male,40,0
23,Private,HS-grad,Married,White,Male,40,0
81,Private,HS-grad,Married,White,Male,26,1
66,Self-emp-not-inc,Doctorate,Married,White,Male,25,1
71,Private,HS-grad,Married,White,Male,45,1
68,Private,Some-college,Married,White,Male,55,1
52,Private,HS-grad,Married,Black,Male,40,0
40,Self-emp-inc,Assoc,Married-civ-spouse,White,Male,50,0
21,Private,Some-college,Married,White,Male,48,0
35,Private,HS-grad,Married,White,Male,40,0
70,Self-emp-inc,Bachelors,Married,White,Male,50,1
61,Self-emp-not-inc,HS-grad,Married,White,Male,50,0
65,Self-emp-inc,HS-grad,Married,White,Male,65,0
46,Private,5th-6th,Divorced,White,Female,45,0
26,Local-gov,Bachelors,Never-married,White,Male,55,0
59,Local-gov,HS-grad,Widowed,White,Male,40,0
61,Private,5th-6th,Never-married,Black,Male,40,0
60,State-gov,Bachelors,Divorced,White,Female,40,0
49,Self-emp-inc,Some-college,Divorced,White,Male,50,0
25,Private,Bachelors,Never-married,White,Female,35,0
59,Local-gov,HS-grad,Separated,Black,Female,40,0
28,State-gov,Some-college,Separated,White,Male,40,0
56,Self-emp-not-inc,Masters,Divorced,White,Female,60,0
41,Private,HS-grad,Divorced,White,Male,40,0
42,Private,HS-grad,Never-married,Black,Female,40,0
28,Private,Prof-school,Never-married,White,Male,40,0
40,Self-emp-not-inc,Prof-school,Divorced,White,Female,35,0
69,Private,Bachelors,Widowed,White,Male,40,1
66,Local-gov,HS-grad,Married,White,Male,40,0
69,Private,5th-6th,Married,White,Male,40,0
55,Local-gov,Masters,Married,White,Female,40,0
57,Federal-gov,HS-grad,Never-married,White,Male,40,0
20,Self-emp-not-inc,Some-college,Never-married,White,Male,10,0
33,Private,HS-grad,Divorced,White,Male,84,0
30,Self-emp-not-inc,Some-college,Never-married,Asian-Pac-Islander,Male,40,0
40,Private,Bachelors,Never-married,Asian-Pac-Islander,Female,48,0
38,Private,Some-college,Separated,White,Male,55,1
46,State-gov,Assoc,Divorced,White,Male,38,1
29,Private,Bachelors,Never-married,White,Female,45,1
57,Federal-gov,Bachelors,Never-married,White,Male,40,0
39,Private,HS-grad,Never-married,White,Male,42,1
47,Private,Bachelors,Divorced,White,Male,40,1
26,Private,Bachelors,Never-married,White,Male,45,1
27,Self-emp-not-inc,HS-grad,Never-married,White,Male,50,0
23,Private,Bachelors,Never-married,White,Female,40,1
34,Private,Masters,Never-married,White,Male,50,0
33,Private,12th,Divorced,White,Male,42,0
38,Local-gov,Masters,Never-married,White,Female,60,0
57,Private,Some-college,Widowed,White,Female,38,1
36,Private,HS-grad,Never-married,White,Male,70,0
44,Federal-gov,Bachelors,Divorced,White,Male,40,1
49,State-gov,Doctorate,Never-married,White,Female,50,1
44,Self-emp-inc,Some-college,Never-married,White,Male,60,0
55,Private,Some-college,Widowed,White,Male,62,1
45,Private,HS-grad,Divorced,White,Male,44,1
48,Private,HS-grad,Divorced,White,Female,40,1
31,Private,Bachelors,Married,White,Male,45,1
55,Local-gov,HS-grad,Married,White,Female,40,1
70,Self-emp-not-inc,Some-college,Married,White,Male,40,1
70,Self-emp-not-inc,Masters,Married,White,Male,8,1
73,Private,Bachelors,Married,White,Male,40,1
72,Self-emp-not-inc,Prof-school,Married,White,Male,28,1
31,Private,HS-grad,Separated,White,Female,40,0
28,Private,10th,Widowed,White,Female,35,0
23,Self-emp-not-inc,Bachelors,Never-married,White,Male,40,1
49,Local-gov,9th,Widowed,White,Male,40,1
27,Local-gov,Some-college,Never-married,White,Male,40,1
90,Private,HS-grad,Never-married,Black,Male,40,0
68,Private,HS-grad,Widowed,White,Female,30,0
65,Private,HS-grad,Divorced,White,Female,59,0
67,Private,Bachelors,Divorced,White,Female,5,0
66,Local-gov,Bachelors,Widowed,Black,Female,25,0
24,Private,Some-college,Never-married,White,Male,24,0
44,Self-emp-not-inc,Some-college,Divorced,White,Male,35,0
35,Private,Some-college,Never-married,White,Female,40,0
20,Private,Assoc,Never-married,White,Female,18,0
38,Private,HS-grad,Divorced,White,Male,40,0
39,Private,Some-college,Never-married,Black,Female,40,0
32,Private,Some-college,Never-married,White,Female,40,0
42,Private,7th-8th,Never-married,Black,Male,40,0
42,Self-emp-inc,Masters,Divorced,Asian-Pac-Islander,Male,60,1
64,Private,11th,Married,White,Male,40,0
28,Private,7th-8th,Married,Other,Male,40,0
41,Self-emp-inc,Assoc,Married-civ-spouse,Other,Male,84,0
41,Self-emp-not-inc,7th-8th,Married,White,Male,40,0
58,Self-emp-not-inc,1st-4th,Married,White,Male,18,0
59,State-gov,Some-college,Married,White,Male,40,0
34,Self-emp-not-inc,HS-grad,Married,White,Female,12,0
45,Private,HS-grad,Married,White,Male,45,0
29,Private,HS-grad,Married,White,Female,40,0
47,Private,10th,Married,White,Male,52,0
40,Private,Some-college,Married,White,Male,40,0
47,Self-emp-not-inc,5th-6th,Married,White,Male,50,0
41,Self-emp-not-inc,HS-grad,Married,White,Male,40,0
34,Private,Some-college,Married,Black,Male,40,0
65,Self-emp-not-inc,Some-college,Married,White,Male,10,1
70,Private,HS-grad,Married,White,Male,40,1
75,Self-emp-not-inc,Prof-school,Married,White,Male,50,1
65,State-gov,HS-grad,Married,White,Male,40,1
65,Federal-gov,Some-college,Married,Black,Male,40,1
73,Private,Some-college,Married,White,Male,50,1
68,Self-emp-not-inc,Assoc,Married-civ-spouse,White,Male,40,0
74,Self-emp-not-inc,HS-grad,Married,White,Male,20,0
19,Self-emp-not-inc,11th,Married,White,Male,55,0
37,Self-emp-not-inc,HS-grad,Married,White,Male,40,0
45,Federal-gov,Assoc,Divorced,Asian-Pac-Islander,Male,40,0
64,Private,Masters,Married,Asian-Pac-Islander,Male,60,0
30,Private,HS-grad,Married,White,Male,40,0
51,Self-emp-not-inc,Some-college,Married,White,Female,60,0
35,Private,11th,Married,White,Male,40,0
29,Private,HS-grad,Married,White,Female,20,0
34,Private,Some-college,Married,White,Female,40,0
41,Private,HS-grad,Married,White,Male,60,0
35,Private,Some-college,Married,White,Male,45,0
26,Private,Some-college,Married,White,Male,40,0
54,Private,HS-grad,Married,White,Male,50,0
52,Local-gov,HS-grad,Married,White,Male,40,0
50,Self-emp-not-inc,HS-grad,Married,White,Male,20,0
31,Private,Some-college,Married,White,Male,40,0
38,Federal-gov,HS-grad,Married,White,Male,40,0
30,Private,Some-college,Married,White,Male,40,0
34,Local-gov,Bachelors,Married,White,Male,40,0
31,Private,Some-college,Married,White,Male,57,0
52,Private,HS-grad,Married,White,Male,38,0
54,Private,HS-grad,Married,White,Male,40,0
38,Private,HS-grad,Married,White,Male,44,0
39,Private,HS-grad,Married,White,Male,40,0
29,Private,Assoc,Married-civ-spouse,White,Male,40,0
45,Private,HS-grad,Married,White,Male,40,0
34,Private,HS-grad,Married,White,Male,55,0
38,Private,HS-grad,Married,White,Male,40,0
39,Private,10th,Married,White,Male,40,0
61,Private,HS-grad,Married,White,Male,20,0
43,Private,11th,Married,White,Male,40,0
35,Private,Some-college,Married,White,Male,40,0
46,Private,Some-college,Married,White,Male,50,0
38,Private,HS-grad,Married,White,Male,40,0
42,Self-emp-not-inc,HS-grad,Married,White,Male,48,0
34,Private,Assoc,Married-civ-spouse,White,Male,10,0
29,Private,7th-8th,Married,White,Male,40,0
32,Private,11th,Married,White,Male,30,0
60,Private,HS-grad,Married,White,Male,34,0
49,Local-gov,HS-grad,Married,White,Male,40,0
53,Local-gov,HS-grad,Married,White,Male,45,0
56,Private,7th-8th,Married,White,Male,40,0
48,Private,11th,Married,White,Male,40,0
32,Federal-gov,Bachelors,Married,Asian-Pac-Islander,Male,40,0
42,Self-emp-not-inc,HS-grad,Married,White,Male,40,0
32,Private,Assoc,Married-civ-spouse,White,Male,42,0
28,Local-gov,Assoc,Married-civ-spouse,White,Male,40,0
26,Private,Assoc,Married-civ-spouse,White,Male,40,0
59,Private,Bachelors,Married,White,Male,50,0
47,Self-emp-not-inc,Bachelors,Married,White,Male,30,0
41,Private,HS-grad,Married,White,Male,60,0
36,Private,HS-grad,Married,White,Female,40,0
45,Private,Bachelors,Married,White,Male,55,0
30,Private,Assoc,Married-civ-spouse,White,Male,40,0
36,Private,HS-grad,Married,White,Male,40,0
34,Self-emp-inc,HS-grad,Married,White,Male,40,0
53,Private,HS-grad,Married,White,Male,40,0
51,Private,HS-grad,Married,White,Male,45,0
47,Self-emp-not-inc,Doctorate,Married,White,Male,45,0
30,Private,HS-grad,Never-married,White,Male,42,0
20,Private,HS-grad,Never-married,White,Male,40,0
42,Federal-gov,Masters,Divorced,White,Male,60,0
31,Private,11th,Never-married,White,Male,40,0
33,Private,Bachelors,Never-married,White,Male,40,0
25,Private,Assoc,Never-married,White,Female,30,0
20,Private,HS-grad,Never-married,White,Male,40,0
23,Private,HS-grad,Never-married,Black,Male,40,0
41,Self-emp-not-inc,Some-college,Divorced,White,Male,50,0
54,Self-emp-not-inc,HS-grad,Widowed,White,Male,35,0
25,Private,HS-grad,Never-married,White,Male,50,0
19,Private,Some-college,Never-married,White,Female,40,0
24,Private,HS-grad,Never-married,White,Female,37,0
56,Federal-gov,Bachelors,Never-married,Black,Male,65,0
21,Local-gov,Some-college,Never-married,White,Female,40,0
34,Private,HS-grad,Never-married,Black,Male,40,0
19,Private,HS-grad,Never-married,White,Male,40,0
48,Private,HS-grad,Separated,White,Female,40,0
34,Private,Bachelors,Never-married,White,Male,40,0
31,Private,HS-grad,Never-married,White,Male,40,0
36,Private,HS-grad,Never-married,Black,Female,40,0
27,Private,HS-grad,Never-married,White,Male,40,0
27,Private,Some-college,Never-married,Asian-Pac-Islander,Male,40,0
35,Private,Bachelors,Divorced,White,Female,65,0
31,Self-emp-not-inc,Bachelors,Married,White,Male,60,0
27,Federal-gov,HS-grad,Never-married,Black,Male,40,0
28,Local-gov,Assoc,Never-married,White,Female,40,0
42,Private,HS-grad,Divorced,White,Male,46,0
44,Private,Some-college,Separated,White,Male,45,0
41,Private,Bachelors,Divorced,White,Male,56,0
28,Private,Bachelors,Never-married,White,Female,35,0
41,Federal-gov,HS-grad,Never-married,White,Female,40,0
35,Private,10th,Widowed,Black,Female,40,0
58,Private,Masters,Divorced,White,Female,45,0
40,Private,HS-grad,Divorced,White,Male,48,0
31,Private,Assoc,Never-married,White,Male,60,0
30,Private,HS-grad,Never-married,White,Female,40,0
32,Private,Some-college,Separated,Amer-Indian-Eskimo,Male,40,0
25,Private,Some-college,Never-married,White,Male,40,0
34,Private,HS-grad,Never-married,White,Male,40,0
56,Private,Some-college,Divorced,White,Female,40,0
45,Private,HS-grad,Divorced,White,Male,40,0
50,Private,HS-grad,Never-married,White,Male,40,0
27,Private,10th,Never-married,White,Male,40,0
51,Private,Some-college,Married,White,Male,40,1
40,Private,Assoc,Married-civ-spouse,White,Male,60,1
41,Private,Masters,Married,White,Male,65,1
49,Private,Masters,Married,White,Male,45,1
37,Private,Assoc,Married-civ-spouse,White,Male,40,1
36,Self-emp-inc,Bachelors,Married,White,Female,45,1
35,Private,Prof-school,Married,White,Male,80,1
29,Self-emp-inc,HS-grad,Married,White,Female,25,1
50,Private,Bachelors,Married,White,Female,40,1
46,Private,Bachelors,Married,White,Male,40,1
44,Self-emp-not-inc,HS-grad,Married,White,Male,45,1
42,Local-gov,Masters,Married,White,Male,40,1
38,Federal-gov,Prof-school,Married,White,Male,50,1
45,Private,Bachelors,Married,White,Male,55,1
43,Local-gov,Masters,Married,White,Male,60,1
47,Self-emp-inc,Prof-school,Married,White,Male,60,1
58,Self-emp-inc,Prof-school,Married,White,Male,50,1
48,Private,Prof-school,Married,White,Male,40,1
42,Local-gov,Bachelors,Married,White,Male,48,1
55,Private,Masters,Married,White,Male,50,1
51,Private,10th,Married,White,Male,40,1
32,Private,Masters,Married,Black,Male,40,1
45,Local-gov,Bachelors,Married,White,Male,50,1
56,Private,Masters,Married,White,Male,44,1
38,Private,Masters,Married,White,Male,60,1
45,Private,Assoc,Married-civ-spouse,White,Male,50,1
49,Private,Masters,Married,White,Female,40,1
36,Private,HS-grad,Married,White,Male,40,1
49,Private,Masters,Married,White,Male,40,1
30,Private,Doctorate,Married,Asian-Pac-Islander,Male,40,1
42,Self-emp-inc,Prof-school,Married,White,Male,50,1
55,Private,Masters,Married,White,Male,40,1
34,Private,Bachelors,Married,White,Male,45,1
54,Private,Doctorate,Married,White,Male,50,1
42,Self-emp-not-inc,Bachelors,Married,White,Male,70,1
25,Local-gov,Bachelors,Married,White,Male,40,1
55,Self-emp-inc,HS-grad,Married,White,Male,45,1
58,State-gov,Masters,Married,White,Male,50,1
62,Private,HS-grad,Married,White,Male,60,1
43,Self-emp-inc,Prof-school,Married,White,Male,40,1
57,Local-gov,Masters,Married,Black,Female,40,1
42,Self-emp-inc,Doctorate,Married,White,Male,60,1
63,Self-emp-not-inc,Bachelors,Married,Asian-Pac-Islander,Male,32,1
47,Self-emp-not-inc,Prof-school,Married,White,Male,50,1
37,Private,Bachelors,Married,White,Male,50,1
40,Private,Bachelors,Married,White,Male,60,1
43,Private,Bachelors,Married,White,Male,50,1
43,State-gov,Prof-school,Married,White,Male,70,1
41,Self-emp-not-inc,Prof-school,Married,White,Male,60,1
32,Private,Prof-school,Married,White,Male,60,1
47,Private,Bachelors,Married,White,Male,40,1
39,Federal-gov,Some-college,Married,White,Male,60,1
53,Private,Some-college,Married,White,Male,40,1
34,Private,Bachelors,Married,White,Male,45,1
36,Private,Bachelors,Married,White,Male,40,1
47,Local-gov,Masters,Married,White,Male,41,1
52,Private,Assoc,Married-civ-spouse,White,Male,45,1
40,Self-emp-not-inc,Prof-school,Married,Amer-Indian-Eskimo,Male,60,1
42,Self-emp-inc,Bachelors,Married,White,Male,40,1
51,Private,Masters,Married,White,Male,40,1
55,Private,Masters,Married,White,Male,20,1
38,Private,HS-grad,Married,White,Male,99,1
52,Private,Some-college,Married,White,Male,50,1
60,Federal-gov,HS-grad,Married,White,Male,40,1
55,Private,Assoc,Married-civ-spouse,White,Male,50,1
47,Local-gov,Masters,Married,Black,Male,50,1
46,Private,Masters,Married,White,Male,40,1
35,Private,Masters,Married,White,Male,45,1
59,Self-emp-inc,Bachelors,Married,White,Male,50,1
57,Private,Masters,Married,White,Male,45,1
46,Private,Some-college,Married,White,Male,50,1
46,Federal-gov,Masters,Married,White,Male,40,1
52,Private,HS-grad,Married,White,Male,40,1
45,Private,Doctorate,Married,White,Female,30,1
37,Private,Bachelors,Married,White,Male,40,1
46,Private,Masters,Married,White,Male,45,1
44,Private,Bachelors,Married,Black,Male,50,1
45,Private,Assoc,Married-civ-spouse,White,Male,50,1
43,Private,HS-grad,Married,White,Male,52,1
54,Local-gov,Masters,Married,White,Male,40,1
50,Private,Masters,Married,White,Male,40,1
45,Private,Bachelors,Married,White,Male,40,1
36,Private,Masters,Married,White,Male,60,1
27,Private,Bachelors,Married,White,Male,50,1
36,Private,Bachelors,Married,White,Male,35,1
53,Private,Masters,Married,White,Male,55,1
51,Local-gov,Masters,Married,White,Male,35,1
28,Private,Bachelors,Married,White,Female,24,1
47,Self-emp-not-inc,Some-college,Married,White,Male,40,1
45,Private,Bachelors,Married,White,Male,60,1
45,Local-gov,Masters,Married,White,Female,35,1
39,Self-emp-not-inc,Prof-school,Married,White,Male,50,1
39,Private,Bachelors,Married,White,Male,40,1
55,Self-emp-not-inc,Masters,Married,White,Male,40,1
62,Private,Some-college,Married,White,Male,98,1
49,Private,Bachelors,Married,Asian-Pac-Islander,Male,50,1
53,Self-emp-not-inc,Masters,Married,White,Male,40,1
31,Private,Masters,Married,White,Male,48,1
42,Self-emp-inc,HS-grad,Married,White,Male,60,1
39,Private,Bachelors,Married,White,Male,45,1
60,Self-emp-not-inc,Bachelors,Married,White,Male,45,1
26,Private,Prof-school,Married,White,Male,40,1
37,Private,Masters,Married,White,Male,40,1
45,State-gov,Bachelors,Married,White,Male,60,1
37,Private,Assoc,Married-civ-spouse,White,Male,45,1
32,Private,Bachelors,Married,White,Male,45,1
39,Self-emp-inc,HS-grad,Married,White,Male,40,1
45,Private,Masters,Married,White,Male,43,1
41,Private,Bachelors,Married,White,Male,45,1
36,Self-emp-not-inc,HS-grad,Married,White,Male,65,1
51,State-gov,Masters,Married,White,Male,60,1
39,Private,Some-college,Married,White,Male,62,1
56,Self-emp-not-inc,Prof-school,Married,White,Male,50,1
53,Federal-gov,HS-grad,Married,Black,Male,40,1
40,Self-emp-not-inc,Assoc,Married-civ-spouse,White,Female,15,1
57,Private,Masters,Married,Black,Male,40,1
50,Local-gov,HS-grad,Married,White,Male,35,1
34,Private,Prof-school,Married,White,Male,55,1
35,Private,Bachelors,Married,White,Female,30,1
30,Self-emp-not-inc,HS-grad,Married,White,Male,15,1
53,Local-gov,Masters,Married,White,Male,55,1
31,State-gov,Doctorate,Married,White,Male,70,1
37,Private,Bachelors,Married,White,Male,60,1
34,Private,Bachelors,Married,White,Male,50,1
36,Private,Masters,Married,White,Male,50,1
40,Private,Bachelors,Married,White,Male,50,1
51,Private,Some-college,Married,White,Male,60,1
33,Private,HS-grad,Married,White,Male,45,1
40,Private,Doctorate,Married,White,Female,20,1
46,Self-emp-inc,Masters,Married,White,Male,60,1
54,Private,Doctorate,Married,White,Male,50,1
39,Private,Masters,Married,White,Female,24,1
54,Self-emp-inc,Some-college,Married,White,Male,40,1
31,Private,Doctorate,Married,White,Male,99,1
51,Private,Masters,Married,White,Male,50,1
36,Private,Masters,Married,White,Male,40,1
41,Self-emp-inc,Bachelors,Married,Asian-Pac-Islander,Male,60,1
56,Self-emp-not-inc,Some-college,Married,White,Female,50,1
38,Private,Bachelors,Married,White,Male,40,1
47,Private,HS-grad,Married,White,Male,45,1
39,Local-gov,Masters,Married,White,Male,45,1
59,Private,Bachelors,Married,White,Male,50,1
54,Private,Doctorate,Married,White,Male,43,1
54,Self-emp-not-inc,Bachelors,Married,White,Female,35,1
31,Private,Bachelors,Married,White,Male,55,1
59,Self-emp-inc,Some-college,Married,White,Male,48,1
46,Private,Masters,Married,White,Male,50,1
57,Private,Doctorate,Married,White,Male,40,1
36,Private,Masters,Married,White,Female,44,1
44,Private,Bachelors,Married,White,Male,40,1
33,Private,Prof-school,Married,White,Male,50,1
54,Private,Some-college,Married,White,Male,18,1
55,Private,Masters,Married,White,Male,60,1
36,Private,Masters,Married,White,Male,50,1
49,Local-gov,Prof-school,Married,White,Female,60,1
41,Private,Prof-school,Married,White,Male,50,1
40,Private,Doctorate,Married,Asian-Pac-Islander,Male,45,1
43,Private,Bachelors,Married,White,Male,50,1
39,Local-gov,Masters,Married,White,Female,20,1
48,Private,Prof-school,Married,White,Male,45,1
43,Private,Bachelors,Married,White,Male,50,1
36,Private,Bachelors,Married,White,Male,45,1
39,Private,Masters,Never-married,White,Male,40,0
21,Private,Some-college,Never-married,Asian-Pac-Islander,Male,40,0
23,Private,Some-college,Never-married,White,Female,40,0
47,Private,HS-grad,Divorced,White,Female,40,0
30,Private,HS-grad,Never-married,White,Female,40,0
35,Private,Some-college,Never-married,White,Male,40,0
26,Private,Some-college,Never-married,White,Female,40,0
26,Private,Bachelors,Never-married,White,Male,55,0
41,Local-gov,Masters,Divorced,White,Male,40,0
30,Local-gov,Some-college,Never-married,Black,Male,40,0
28,Private,HS-grad,Separated,White,Male,40,0
56,Private,HS-grad,Widowed,White,Female,40,0
35,Private,HS-grad,Never-married,White,Male,40,0
34,Private,Assoc,Never-married,White,Female,40,0
29,Private,HS-grad,Never-married,White,Male,35,0
23,Private,Assoc,Never-married,White,Female,20,0
24,Federal-gov,HS-grad,Never-married,White,Female,40,0
62,Private,Some-college,Divorced,White,Male,40,0
77,Self-emp-not-inc,Some-college,Widowed,White,Female,1,0
47,Private,Prof-school,Married,White,Female,60,1
48,Self-emp-not-inc,Doctorate,Married,White,Male,60,1
42,Self-emp-not-inc,Prof-school,Married,White,Male,50,1
31,Private,Masters,Married,White,Male,40,1
43,Private,Bachelors,Married,White,Male,40,1
50,Private,Doctorate,Married,White,Male,65,1
36,Private,Bachelors,Married,White,Male,50,1
49,Local-gov,Masters,Married,White,Male,40,1
38,Private,HS-grad,Married,White,Male,40,1
48,State-gov,Doctorate,Married,White,Female,46,1
46,Private,Bachelors,Married,White,Male,40,1
56,Self-emp-not-inc,HS-grad,Married,White,Male,60,1
37,Private,HS-grad,Married,White,Male,45,1
51,Private,HS-grad,Married,Black,Male,40,1
43,Private,Masters,Married,White,Male,40,1
46,Local-gov,HS-grad,Married,White,Male,40,0
42,Local-gov,Masters,Married,White,Male,60,1
45,Private,Some-college,Married,White,Female,35,1
23,Private,Some-college,Married,White,Male,40,0
45,Private,Bachelors,Married,White,Male,40,1
30,State-gov,HS-grad,Married,White,Male,40,0
49,Private,Assoc,Married-civ-spouse,White,Female,40,1
57,Private,Prof-school,Married,Asian-Pac-Islander,Male,40,1
42,Self-emp-not-inc,Bachelors,Married,White,Male,80,1
43,Local-gov,Some-college,Married,White,Female,40,1
43,Private,Some-college,Married,White,Male,40,1
42,Private,Prof-school,Married,White,Male,60,1
53,Private,Bachelors,Married,White,Male,55,1
40,Local-gov,Masters,Married,White,Male,48,1
41,Private,Bachelors,Married,White,Male,60,1
49,Private,Bachelors,Married,White,Male,40,1
31,Self-emp-not-inc,Bachelors,Married,White,Male,50,1
34,Private,Masters,Married,White,Male,50,1
40,Federal-gov,Masters,Married,Asian-Pac-Islander,Male,40,1
50,Private,Some-college,Married,White,Female,38,1
54,Private,HS-grad,Married,Asian-Pac-Islander,Male,40,1
49,Private,Some-college,Married,White,Male,50,1
44,Self-emp-not-inc,Masters,Married,White,Female,60,1
57,Local-gov,Bachelors,Married,White,Male,40,1
28,Local-gov,Masters,Married,White,Female,55,0
57,Private,Some-college,Married,White,Male,40,1
59,Private,Bachelors,Married,White,Male,43,1
